Turbine ID,Project State,Project Name,Year Online,Number of Project Turbines,Average Turbine Capacity,Turbine Manufacturer,Turbine Model,Total Rated Capacity,Hub Height,Total Height
3104391,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104427,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104447,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104438,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104367,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104408,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104382,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104457,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104375,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104383,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104455,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104449,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104400,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104425,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104422,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104429,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104428,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104446,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104419,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104386,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104396,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104443,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104421,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104423,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104398,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104411,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104392,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104403,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104413,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104441,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104364,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104426,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104368,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104440,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104461,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104436,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104448,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104365,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104414,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104418,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104450,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104399,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104390,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104458,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104370,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104430,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104433,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104378,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104369,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104373,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104416,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104374,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104387,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104401,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104407,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104444,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104431,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104389,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104377,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104415,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104397,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104434,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104395,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104412,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104402,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104410,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104406,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104409,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104420,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104363,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104372,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104394,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104366,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104456,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104453,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104432,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104435,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104454,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104393,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104417,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104379,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104439,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104459,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104384,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104380,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104388,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104442,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104424,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104460,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104376,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104405,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104381,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104404,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104452,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104451,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104445,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104371,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104385,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3104437,ND,Ashtabula Wind Center,2008,99,148.5,GE Wind,GE1.5-91,1500,80,125.6
3121553,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121534,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121548,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121589,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121551,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121560,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121585,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121558,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121557,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121574,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121566,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
